Issuance Date,Sustainable Development Goals,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Methodology,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",66,4014-172104123-172104188-VCU-016-MER-AU-14-641-16042012-15042013-0,,2017-07-21,,Other,Emissions Offset; Climate Friendly Clients (CY2016)
2014-05-27,,2010-10-20,2012-10-19,1285,New Leaf Carbon Project,Australia,Agriculture Forestry and Other Land Use,VM0010,"73,711","14,711",3409-151930702-151945412-VCU-016-MER-AU-14-1285-20102010-19102012-1,CCB-Gold,2016-02-24,,Other,VA NCOS 2014/15 surrender
2014-04-29,,2010-10-20,2012-10-19,1285,New Leaf Carbon Project,Australia,Agriculture Forestry and Other Land Use,VM0010,"73,711","6,760",3357-150345123-150351882-VCU-016-MER-AU-14-1285-20102010-19102012-1,CCB-Gold,2015-06-02,,Other,FY13/14 surrender.
2014-04-29,,2010-10-20,2012-10-19,1285,New Leaf Carbon Project,Australia,Agriculture Forestry and Other Land Use,VM0010,"73,711","25,840",3357-150351883-150377722-VCU-016-MER-AU-14-1285-20102010-19102012-1,CCB-Gold,2016-11-28,,Other,
2014-04-29,,2010-10-20,2012-10-19,1285,New Leaf Carbon Project,Australia,Agriculture Forestry and Other Land Use,VM0010,"73,711","4,255",3357-150377723-150381977-VCU-016-MER-AU-14-1285-20102010-19102012-1,CCB-Gold,2017-10-31,,Other,
2014-04-29,,2010-10-20,2012-10-19,1285,New Leaf Carbon Project,Australia,Agriculture Forestry and Other Land Use,VM0010,"73,711","14,319",3357-150381978-150396296-VCU-016-MER-AU-14-1285-20102010-19102012-1,CCB-Gold,2016-02-24,,Other,VA NCOS Surrender 2014/15
2014-04-29,,2010-10-20,2012-10-19,1285,New Leaf Carbon Project,Australia,Agriculture Forestry and Other Land Use,VM0010,"73,711","4,109",3357-150396297-150400405-VCU-016-MER-AU-14-1285-20102010-19102012-1,CCB-Gold,2016-11-28,,Other,
2014-04-29,,2010-10-20,2012-10-19,1285,New Leaf Carbon Project,Australia,Agriculture Forestry and Other Land Use,VM0010,"73,711","3,717",3357-150400406-150404122-VCU-016-MER-AU-14-1285-20102010-19102012-1,CCB-Gold,2016-02-24,,Other,VA NCOS 2014/15 surrender.
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","2,704",3291-148283712-148286415-VCU-016-MER-AU-14-641-16042012-15042013-0,,2014-07-01,,Retirement for Person or Organization,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",866,3291-148270616-148271481-VCU-016-MER-AU-14-641-16042012-15042013-0,,2014-10-23,,Environmental Benefit,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",100,3291-148271482-148271581-VCU-016-MER-AU-14-641-16042012-15042013-0,,2015-06-25,,Retirement for Person or Organization,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",34,3291-148271582-148271615-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-08-07,,Retirement for Person or Organization,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","1,784",3291-148261678-148263461-VCU-016-MER-AU-14-641-16042012-15042013-0,,2015-10-07,,Retirement for Person or Organization,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","1,766",3291-148263462-148265227-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-04-03,,Retirement for Person or Organization,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",27,3291-148271616-148271642-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-11-01,,NCOS Programme,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",50,3291-148271643-148271692-VCU-016-MER-AU-14-641-16042012-15042013-0,,2017-01-19,,,
